,AVG,,,FantasyPros,BetIQ,??,Razzball,Average,FantasyPros,BetIQ,??,Razzball,Average,FantasyPros,BetIQ,??,Razzball,Average,FantasyPros,BetIQ,??,Razzball,Average,FantasyPros,BetIQ,??,Razzball,Average,FantasyPros,BetIQ,??,Razzball,Average,FantasyPros,BetIQ,??,Razzball,Average,FantasyPros,BetIQ,??,Razzball,Average,FantasyPros,BetIQ,??,Razzball,Average,FantasyPros,BetIQ,??,Razzball,Average,FantasyPros,BetIQ,??,Razzball,Average,FantasyPros,BetIQ,??,Razzball,Average,FantasyPros,BetIQ,??,Razzball,Average,FantasyPros,BetIQ,??,Razzball,Average,FantasyPros,BetIQ,??,Razzball,Average,FantasyPros,BetIQ,??,Razzball,Average,FantasyPros,BetIQ,??,Razzball,Average,FantasyPros,BetIQ,??,Razzball,Average,FantasyPros,BetIQ,??,Razzball,Average,FantasyPros,BetIQ,??,Razzball,Average,FantasyPros,BetIQ,??,Razzball,Average,FantasyPros,BetIQ,??,Razzball,Average,FantasyPros,BetIQ,??,Razzball,Average,FantasyPros,BetIQ,??,Razzball,Average,FantasyPros,BetIQ,??,Razzball,Average,FantasyPros,BetIQ,??,Razzball,Average,FantasyPros,BetIQ,??,Razzball,Average,FantasyPros,BetIQ,??,Razzball,Average,FantasyPros,BetIQ,??,Razzball,Average,FantasyPros,BetIQ,??,Razzball,Average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Player,Team,PO,PASS ATT,PASS ATT,PASS ATT,PASS ATT,PASS ATT,PASS CMP,PASS CMP,PASS CMP,PASS CMP,PASS CMP,PASS INCMP,PASS INCMP,PASS INCMP,PASS INCMP,PASS INCMP,PASS YDS,PASS YDS,PASS YDS,PASS YDS,PASS YDS,PASS FDS,PASS FDS,PASS FDS,PASS FDS,PASS FDS,PASS TDS,PASS TDS,PASS TDS,PASS TDS,PASS TDS,PASS INT,PASS INT,PASS INT,PASS INT,PASS INT,RUSH ATT,RUSH ATT,RUSH ATT,RUSH ATT,RUSH ATT,RUSH YDS,RUSH YDS,RUSH YDS,RUSH YDS,RUSH YDS,RUSH FDS,RUSH FDS,RUSH FDS,RUSH FDS,RUSH FDS,RUSH TDS,RUSH TDS,RUSH TDS,RUSH TDS,RUSH TDS,REC REC,REC REC,REC REC,REC REC,REC REC,REC YDS,REC YDS,REC YDS,REC YDS,REC YDS,REC FDS,REC FDS,REC FDS,REC FDS,REC FDS,REC TDS,REC TDS,REC TDS,REC TDS,REC TDS,MISC FL,MISC FL,MISC FL,MISC FL,MISC FL,FGA,FGA,FGA,FGA,FGA,FGMa,FGMa,FGMa,FGMa,FGMa,FGMi,FGMi,FGMi,FGMi,FGMi,XPTA,XPTA,XPTA,XPTA,XPTA,XPTMa,XPTMa,XPTMa,XPTMa,XPTMa,XPTMi,XPTMi,XPTMi,XPTMi,XPTMi,SACK,SACK,SACK,SACK,SACK,INT,INT,INT,INT,INT,FR,FR,FR,FR,FR,FF,FF,FF,FF,FF,TD,TD,TD,TD,TD,SAFETY,SAFETY,SAFETY,SAFETY,SAFETY,PA,PA,PA,PA,PA,YDS_AGN,YDS_AGN,YDS_AGN,YDS_AGN,YDS_AGN,PASSING ATT,PASSING CMP,PASSING INCMP,PASSING YDS,PASSING FDS,PASSING TDS,PASSING INT,RUSHING ATT,RUSHING YDS,RUSHING FDS,RUSHING TDS,RECEIVING REC,RECEIVING YDS,RECEIVING FDS,RECEIVING TDS,MISC FL,FGA,FGMa,FGMi,XPTA,XPTMa,XPTMi,SACK,INT,FR,FF,TD,SAFETY,PA,YDS_AGN,ID,,,All Pos,,,QB,RB,WR,TE,K,DST
443,Ian Thomas,CAR,TE,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,0.0,#N/A,#N/A,#N/A,0.0,0.0,#N/A,#N/A,#N/A,0.0,0.0,#N/A,#N/A,#N/A,0.0,0.0,#N/A,#N/A,#N/A,0.0,12.6,#N/A,#N/A,#N/A,12.6,128.7,#N/A,#N/A,#N/A,128.7,6.5,#N/A,#N/A,#N/A,6.5,0.6,#N/A,#N/A,#N/A,0.6,0.0,#N/A,#N/A,#N/A,0.0,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,#N/A,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0,0.0,0.0,0.0,12.6,12.9,0.0,3.6,0.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00000000558,29.07,443,25.13,Donovan Peoples-Jones,WR,0.00,0.00,25.13,0.00,0.00,0.00
444,Irv Smith Jr.,KC,TE,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,0.0,#N/A,#N/A,#N/A,0.0,0.0,#N/A,#N/A,#N/A,0.0,0.0,#N/A,#N/A,#N/A,0.0,0.0,#N/A,#N/A,#N/A,0.0,11.4,#N/A,#N/A,#N/A,11.4,102.9,#N/A,#N/A,#N/A,102.9,5.2,#N/A,#N/A,#N/A,5.2,1.0,#N/A,#N/A,#N/A,1.0,0.0,#N/A,#N/A,#N/A,0.0,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,#N/A,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0,0.0,0.0,0.0,11.4,10.3,0.0,6.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00000000557,27.69,444,25.10,La'Michael Pettway,TE,0.00,0.00,0.00,25.10,0.00,0.00
445,Donovan Peoples-Jones,DET,WR,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,0.0,#N/A,#N/A,#N/A,0.0,1.3,#N/A,#N/A,#N/A,1.3,0.1,#N/A,#N/A,#N/A,0.1,0.0,#N/A,#N/A,#N/A,0.0,8.8,#N/A,#N/A,#N/A,8.8,120.0,#N/A,#N/A,#N/A,120.0,5.8,#N/A,#N/A,#N/A,5.8,0.7,#N/A,#N/A,#N/A,0.7,0.0,#N/A,#N/A,#N/A,0.0,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,#N/A,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0,0.1,0.0,0.0,8.8,12.0,0.0,4.2,0.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00000000556,25.13,445,25.09,Trent Sherfield Sr.,WR,0.00,0.00,25.09,0.00,0.00,0.00
446,Stone Smartt,LAC,TE,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,0.0,#N/A,#N/A,#N/A,0.0,0.0,#N/A,#N/A,#N/A,0.0,0.0,#N/A,#N/A,#N/A,0.0,0.0,#N/A,#N/A,#N/A,0.0,9.5,#N/A,#N/A,#N/A,9.5,108.8,#N/A,#N/A,#N/A,108.8,5.5,#N/A,#N/A,#N/A,5.5,0.8,#N/A,#N/A,#N/A,0.8,0.0,#N/A,#N/A,#N/A,0.0,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,#N/A,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0,0.0,0.0,0.0,9.5,10.9,0.0,4.8,0.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00000000555,25.18,446,25.06,Jalen Brooks,WR,0.00,0.00,25.06,0.00,0.00,0.00
447,Jeff Wilson Jr.,MIA,RB,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,16.7,#N/A,#N/A,#N/A,16.7,89.7,#N/A,#N/A,#N/A,89.7,4.6,#N/A,#N/A,#N/A,4.6,0.7,#N/A,#N/A,#N/A,0.7,3.0,#N/A,#N/A,#N/A,3.0,21.7,#N/A,#N/A,#N/A,21.7,1.0,#N/A,#N/A,#N/A,1.0,0.1,#N/A,#N/A,#N/A,0.1,0.0,#N/A,#N/A,#N/A,0.0,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,#N/A,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0,9.0,0.0,4.2,3.0,2.2,0.0,0.6,0.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00000000554,18.94,447,24.92,Tip Reiman,TE,0.00,0.00,0.00,24.92,0.00,0.00
448,Derius Davis,LAC,WR,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,6.7,#N/A,#N/A,#N/A,6.7,38.6,#N/A,#N/A,#N/A,38.6,2.0,#N/A,#N/A,#N/A,2.0,0.1,#N/A,#N/A,#N/A,0.1,7.0,#N/A,#N/A,#N/A,7.0,81.1,#N/A,#N/A,#N/A,81.1,3.9,#N/A,#N/A,#N/A,3.9,0.6,#N/A,#N/A,#N/A,0.6,0.1,#N/A,#N/A,#N/A,0.1,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,#N/A,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0,3.9,0.0,0.6,7.0,8.1,0.0,3.6,-0.2,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00000000553,22.97,448,24.91,Brenton Strange,TE,0.00,0.00,0.00,24.91,0.00,0.00
449,Danny Gray,SF,WR,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,0.0,#N/A,#N/A,#N/A,0.0,4.0,#N/A,#N/A,#N/A,4.0,0.2,#N/A,#N/A,#N/A,0.2,0.0,#N/A,#N/A,#N/A,0.0,7.0,#N/A,#N/A,#N/A,7.0,94.0,#N/A,#N/A,#N/A,94.0,4.5,#N/A,#N/A,#N/A,4.5,1.0,#N/A,#N/A,#N/A,1.0,0.0,#N/A,#N/A,#N/A,0.0,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,#N/A,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0,0.4,0.0,0.0,7.0,9.4,0.0,6.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00000000552,22.80,449,24.73,Drew Sample,TE,0.00,0.00,0.00,24.73,0.00,0.00
450,Jordan Akins,CLE,TE,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,0.0,#N/A,#N/A,#N/A,0.0,0.0,#N/A,#N/A,#N/A,0.0,0.0,#N/A,#N/A,#N/A,0.0,0.0,#N/A,#N/A,#N/A,0.0,10.4,#N/A,#N/A,#N/A,10.4,103.6,#N/A,#N/A,#N/A,103.6,5.2,#N/A,#N/A,#N/A,5.2,0.9,#N/A,#N/A,#N/A,0.9,0.0,#N/A,#N/A,#N/A,0.0,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,#N/A,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0,0.0,0.0,0.0,10.4,10.4,0.0,5.4,0.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00000000551,26.16,450,24.28,Michael Penix Jr.,QB,24.28,0.00,0.00,0.00,0.00,0.00
451,Ainias Smith,PHI,WR,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,0.0,#N/A,#N/A,#N/A,0.0,3.0,#N/A,#N/A,#N/A,3.0,0.2,#N/A,#N/A,#N/A,0.2,0.0,#N/A,#N/A,#N/A,0.0,8.7,#N/A,#N/A,#N/A,8.7,108.4,#N/A,#N/A,#N/A,108.4,5.2,#N/A,#N/A,#N/A,5.2,0.7,#N/A,#N/A,#N/A,0.7,0.0,#N/A,#N/A,#N/A,0.0,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,#N/A,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0,0.3,0.0,0.0,8.7,10.8,0.0,4.2,0.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00000000550,24.04,451,24.25,Jared Wiley,TE,0.00,0.00,0.00,24.25,0.00,0.00
452,Trent Sherfield Sr.,MIN,WR,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,0.0,#N/A,#N/A,#N/A,0.0,1.3,#N/A,#N/A,#N/A,1.3,0.1,#N/A,#N/A,#N/A,0.1,0.0,#N/A,#N/A,#N/A,0.0,9.3,#N/A,#N/A,#N/A,9.3,114.6,#N/A,#N/A,#N/A,114.6,5.5,#N/A,#N/A,#N/A,5.5,0.7,#N/A,#N/A,#N/A,0.7,0.0,#N/A,#N/A,#N/A,0.0,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,#N/A,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0,0.1,0.0,0.0,9.3,11.5,0.0,4.2,0.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00000000549,25.09,452,24.20,D'Ernest Johnson,RB,0.00,24.20,0.00,0.00,0.00,0.00
453,Jeremy McNichols,WAS,RB,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,14.1,#N/A,#N/A,#N/A,14.1,56.8,#N/A,#N/A,#N/A,56.8,2.9,#N/A,#N/A,#N/A,2.9,0.0,#N/A,#N/A,#N/A,0.0,8.0,#N/A,#N/A,#N/A,8.0,65.1,#N/A,#N/A,#N/A,65.1,2.9,#N/A,#N/A,#N/A,2.9,0.5,#N/A,#N/A,#N/A,0.5,0.0,#N/A,#N/A,#N/A,0.0,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,#N/A,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0,5.7,0.0,0.0,8.0,6.5,0.0,3.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00000000548,23.19,453,24.04,Ainias Smith,WR,0.00,0.00,24.04,0.00,0.00,0.00
454,Brenden Rice,LAC,WR,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,0.0,#N/A,#N/A,#N/A,0.0,2.0,#N/A,#N/A,#N/A,2.0,0.1,#N/A,#N/A,#N/A,0.1,0.0,#N/A,#N/A,#N/A,0.0,8.9,#N/A,#N/A,#N/A,8.9,106.8,#N/A,#N/A,#N/A,106.8,5.2,#N/A,#N/A,#N/A,5.2,0.7,#N/A,#N/A,#N/A,0.7,0.0,#N/A,#N/A,#N/A,0.0,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,#N/A,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0,0.2,0.0,0.0,8.9,10.7,0.0,4.2,0.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00000000547,23.98,454,23.98,Brenden Rice,WR,0.00,0.00,23.98,0.00,0.00,0.00
